experiment,alpha,total_mape,total_exp
ye,0.5,50,36
ye,0.6,52,36
ye,0.7,53,36
ye,0.8,54,36
ye,0.9,55,36
ye,1.0,58,36
ye,1.1,85,36
ye,1.2000000000000002,85,36
ye,1.3,86,36
ye,1.4,86,36
ye,1.5,86,36
ye,1.6,86,36
ye,1.7000000000000002,86,36
ye,1.8,86,36
ye,1.9000000000000001,86,36
ye,2.0,86,36
ye,2.1,86,36
ye,2.2,86,36
ye,2.3,86,36
ye,2.4000000000000004,86,36
ye,2.5,86,36
