experiment,alpha,total_mape,total_exp
ye,0.5,37,8
ye,0.6,30,8
ye,0.7,25,8
ye,0.8,22,8
ye,0.9,19,8
ye,1.0,16,8
ye,1.1,58,8
ye,1.2000000000000002,65,8
ye,1.3,68,8
ye,1.4,68,8
ye,1.5,67,8
ye,1.6,68,8
ye,1.7000000000000002,68,8
ye,1.8,68,8
ye,1.9000000000000001,69,8
ye,2.0,69,8
ye,2.1,69,8
ye,2.2,70,8
ye,2.3,70,8
ye,2.4000000000000004,70,8
ye,2.5,70,8
ye,2.6,70,8
ye,2.7,70,8
ye,2.8000000000000003,70,8
ye,2.9000000000000004,70,8
ye,3.0,70,8
ye,3.1,70,8
ye,3.2,70,8
ye,3.3000000000000003,70,8
ye,3.4000000000000004,70,8
ye,3.5,70,8
ye,3.6,70,8
ye,3.7,70,8
ye,3.8000000000000003,70,8
ye,3.9000000000000004,70,8
ye,4.0,70,8
ye,4.1,70,8
ye,4.2,70,8
ye,4.300000000000001,70,8
ye,4.4,70,8
ye,4.5,70,8
ye,4.6000000000000005,70,8
ye,4.7,70,8
ye,4.8,70,8
ye,4.9,70,8
ye,5.0,70,8
