experiment,alpha,total_guess,total_exp,total_guess_p
15mmol_20C,0.5,6,14,0.42857142857142855
15mmol_20C,0.6,6,14,0.42857142857142855
15mmol_20C,0.7,6,14,0.42857142857142855
15mmol_20C,0.8,6,14,0.42857142857142855
15mmol_20C,0.9,6,14,0.42857142857142855
15mmol_20C,1.0,6,14,0.42857142857142855
15mmol_20C,1.1,6,14,0.42857142857142855
15mmol_20C,1.2000000000000002,6,14,0.42857142857142855
15mmol_20C,1.3,6,14,0.42857142857142855
15mmol_20C,1.4,6,14,0.42857142857142855
15mmol_20C,1.5,6,14,0.42857142857142855
15mmol_20C,1.6,6,14,0.42857142857142855
15mmol_20C,1.7000000000000002,6,14,0.42857142857142855
15mmol_20C,1.8,6,14,0.42857142857142855
15mmol_20C,1.9000000000000001,7,14,0.5
15mmol_20C,2.0,7,14,0.5
15mmol_20C,2.1,8,14,0.5714285714285714
15mmol_20C,2.2,7,14,0.5
15mmol_20C,2.3,7,14,0.5
15mmol_20C,2.4000000000000004,6,14,0.42857142857142855
15mmol_20C,2.5,6,14,0.42857142857142855
15mmol_20C,2.6,8,14,0.5714285714285714
15mmol_20C,2.7,8,14,0.5714285714285714
15mmol_20C,2.8000000000000003,8,14,0.5714285714285714
15mmol_20C,2.9000000000000004,8,14,0.5714285714285714
15mmol_20C,3.0,8,14,0.5714285714285714
15mmol_20C,3.1,7,14,0.5
15mmol_20C,3.2,6,14,0.42857142857142855
15mmol_20C,3.3000000000000003,7,14,0.5
15mmol_20C,3.4000000000000004,8,14,0.5714285714285714
15mmol_20C,3.5,8,14,0.5714285714285714
15mmol_20C,3.6,8,14,0.5714285714285714
15mmol_20C,3.7,8,14,0.5714285714285714
15mmol_20C,3.8000000000000003,8,14,0.5714285714285714
15mmol_20C,3.9000000000000004,8,14,0.5714285714285714
15mmol_20C,4.0,8,14,0.5714285714285714
15mmol_20C,4.1,8,14,0.5714285714285714
15mmol_20C,4.2,8,14,0.5714285714285714
15mmol_20C,4.300000000000001,8,14,0.5714285714285714
15mmol_20C,4.4,8,14,0.5714285714285714
15mmol_20C,4.5,8,14,0.5714285714285714
15mmol_20C,4.6000000000000005,8,14,0.5714285714285714
15mmol_20C,4.7,8,14,0.5714285714285714
15mmol_20C,4.8,8,14,0.5714285714285714
15mmol_20C,4.9,8,14,0.5714285714285714
15mmol_20C,5.0,8,14,0.5714285714285714
